ID,Title,Link,titleSlug,Approach,Difficulty,Topics
879,Profitable Schemes,Profitable Schemes,profitable-schemes,,Hard,"Dynamic Programming, "
887,Super Egg Drop,Super Egg Drop,super-egg-drop,,Hard,"Math, Binary Search, Dynamic Programming, "
890,Find and Replace Pattern,Find and Replace Pattern,find-and-replace-pattern,,Hard,"String, "
894,All Possible Full Binary Trees,All Possible Full Binary Trees,all-possible-full-binary-trees,,Hard,"Tree, Recursion, "
901,Online Stock Span,Online Stock Span,online-stock-span,,Hard,"Stack, "
903,Valid Permutations for DI Sequence,Valid Permutations for DI Sequence,valid-permutations-for-di-sequence,,Hard,"Divide and Conquer, Dynamic Programming, "
915,Partition Array into Disjoint Intervals,Partition Array into Disjoint Intervals,partition-array-into-disjoint-intervals,,Hard,"Array, "
920,Number of Music Playlists,Number of Music Playlists,number-of-music-playlists,,Hard,"Dynamic Programming, "
925,Long Pressed Name,Long Pressed Name,long-pressed-name,,Hard,"Two Pointers, String, "
931,Minimum Falling Path Sum,Minimum Falling Path Sum,minimum-falling-path-sum,,Hard,"Dynamic Programming, "
938,Range Sum of BST,Range Sum of BST,range-sum-of-bst,,Hard,"Tree, Recursion, "
965,Univalued Binary Tree,Univalued Binary Tree,univalued-binary-tree,,Hard,"Tree, "
976,Largest Perimeter Triangle,Largest Perimeter Triangle,largest-perimeter-triangle,,Hard,"Math, Sort, "
980,Unique Paths III,Unique Paths III,unique-paths-iii,,Hard,"Backtracking, Depth-first Search, "
981,Time Based Key-Value Store,Time Based Key-Value Store,time-based-key-value-store,,Hard,"Hash Table, Binary Search, "
994,Rotting Oranges,Rotting Oranges,rotting-oranges,,Hard,"Breadth-first Search, "
995,Minimum Number of K Consecutive Bit Flips,Minimum Number of K Consecutive Bit Flips,minimum-number-of-k-consecutive-bit-flips,,Hard,"Greedy, Sliding Window, "
997,Find the Town Judge,Find the Town Judge,find-the-town-judge,,Hard,"Graph, "
1002,Find Common Characters,Find Common Characters,find-common-characters,,Hard,"Array, Hash Table, "
1005,Maximize Sum Of Array After K Negations,Maximize Sum Of Array After K Negations,maximize-sum-of-array-after-k-negations,,Hard,"Greedy, "
1009,Complement of Base 10 Integer,Complement of Base 10 Integer,complement-of-base-10-integer,,Hard,"Math, "
1010,Pairs of Songs With Total Durations Divisible by 60,Pairs of Songs With Total Durations Divisible by 60,pairs-of-songs-with-total-durations-divisible-by-60,,Hard,"Array, "
1013,Partition Array Into Three Parts With Equal Sum,Partition Array Into Three Parts With Equal Sum,partition-array-into-three-parts-with-equal-sum,,Hard,"Array, "
1022,Sum of Root To Leaf Binary Numbers,Sum of Root To Leaf Binary Numbers,sum-of-root-to-leaf-binary-numbers,,Hard,"Tree, "
1029,Two City Scheduling,Two City Scheduling,two-city-scheduling,,Hard,"Greedy, "
1038,Binary Search Tree to Greater Sum Tree,Binary Search Tree to Greater Sum Tree,binary-search-tree-to-greater-sum-tree,,Hard,"Binary Search Tree, "
1039,Minimum Score Triangulation of Polygon,Minimum Score Triangulation of Polygon,minimum-score-triangulation-of-polygon,,Hard,"Dynamic Programming, "
1043,Partition Array for Maximum Sum,Partition Array for Maximum Sum,partition-array-for-maximum-sum,,Hard,"Graph, "
1047,Remove All Adjacent Duplicates In String,Remove All Adjacent Duplicates In String,remove-all-adjacent-duplicates-in-string,,Hard,"Stack, "
1052,Grumpy Bookstore Owner,Grumpy Bookstore Owner,grumpy-bookstore-owner,,Hard,"Array, Sliding Window, "
1061,Lexicographically Smallest Equivalent String,Lexicographically Smallest Equivalent String,lexicographically-smallest-equivalent-string,,Hard,"Depth-first Search, Union Find, "
1063,Number of Valid Subarrays,Number of Valid Subarrays,number-of-valid-subarrays,,Hard,"Stack, "
1066,Campus Bikes II,Campus Bikes II,campus-bikes-ii,,Hard,"Dynamic Programming, Backtracking, "
1072,Flip Columns For Maximum Number of Equal Rows,Flip Columns For Maximum Number of Equal Rows,flip-columns-for-maximum-number-of-equal-rows,,Hard,"Hash Table, "
1087,Brace Expansion,Brace Expansion,brace-expansion,,Hard,"Backtracking, "
1091,Shortest Path in Binary Matrix,Shortest Path in Binary Matrix,shortest-path-in-binary-matrix,,Hard,"Tree, Depth-first Search, "
1095,Find in Mountain Array,Find in Mountain Array,find-in-mountain-array,,Hard,"Binary Search, "
1099,Two Sum Less Than K,Two Sum Less Than K,two-sum-less-than-k,,Hard,"Array, "
1102,Path With Maximum Minimum Value,Path With Maximum Minimum Value,path-with-maximum-minimum-value,,Hard,"Depth-first Search, Union Find, Graph, "
1106,Parsing A Boolean Expression,Parsing A Boolean Expression,parsing-a-boolean-expression,,Hard,"String, "
1112,Highest Grade For Each Student,Highest Grade For Each Student,highest-grade-for-each-student,,Hard,
1114,Print in Order,Print in Order,print-in-order,,Hard,
1115,Print FooBar Alternately,Print FooBar Alternately,print-foobar-alternately,,Hard,
1124,Longest Well-Performing Interval,Longest Well-Performing Interval,longest-well-performing-interval,,Hard,"Stack, "
1126,Active Businesses,Active Businesses,active-businesses,,Hard,
1133,Largest Unique Number,Largest Unique Number,largest-unique-number,,Hard,"Array, Hash Table, "
1137,N-th Tribonacci Number,N-th Tribonacci Number,n-th-tribonacci-number,,Hard,"Recursion, "
1147,Longest Chunked Palindrome Decomposition,Longest Chunked Palindrome Decomposition,longest-chunked-palindrome-decomposition,,Hard,"Dynamic Programming, Rolling Hash, "
1156,Swap For Longest Repeated Character Substring,Swap For Longest Repeated Character Substring,swap-for-longest-repeated-character-substring,,Hard,"String, "
1157,Online Majority Element In Subarray,Online Majority Element In Subarray,online-majority-element-in-subarray,,Hard,"Array, Binary Search, Segment Tree, "
1165,Single-Row Keyboard,Single-Row Keyboard,single-row-keyboard,,Hard,"String, "
1171,Remove Zero Sum Consecutive Nodes from Linked List,Remove Zero Sum Consecutive Nodes from Linked List,remove-zero-sum-consecutive-nodes-from-linked-list,,Hard,"Linked List, "
1172,Dinner Plate Stacks,Dinner Plate Stacks,dinner-plate-stacks,,Hard,"Design, "
1173,Immediate Food Delivery I,Immediate Food Delivery I,immediate-food-delivery-i,,Hard,
1178,Number of Valid Words for Each Puzzle,Number of Valid Words for Each Puzzle,number-of-valid-words-for-each-puzzle,,Hard,"Hash Table, Bit Manipulation, "
1184,Distance Between Bus Stops,Distance Between Bus Stops,distance-between-bus-stops,,Hard,"Array, "
1188,Design Bounded Blocking Queue,Design Bounded Blocking Queue,design-bounded-blocking-queue,,Hard,
1189,Maximum Number of Balloons,Maximum Number of Balloons,maximum-number-of-balloons,,Hard,"Hash Table, String, "
1191,K-Concatenation Maximum Sum,K-Concatenation Maximum Sum,k-concatenation-maximum-sum,,Hard,"Dynamic Programming, "
1198,Find Smallest Common Element in All Rows,Find Smallest Common Element in All Rows,find-smallest-common-element-in-all-rows,,Hard,"Hash Table, Binary Search, "
1200,Minimum Absolute Difference,Minimum Absolute Difference,minimum-absolute-difference,,Hard,"Array, "
1204,Last Person to Fit in the Elevator,Last Person to Fit in the Elevator,last-person-to-fit-in-the-elevator,,Hard,
1206,Design Skiplist,Design Skiplist,design-skiplist,,Hard,"Design, "
1208,Get Equal Substrings Within Budget,Get Equal Substrings Within Budget,get-equal-substrings-within-budget,,Hard,"Array, Sliding Window, "
1213,Intersection of Three Sorted Arrays,Intersection of Three Sorted Arrays,intersection-of-three-sorted-arrays,,Hard,"Hash Table, Two Pointers, "
1214,Two Sum BSTs,Two Sum BSTs,two-sum-bsts,,Hard,"Binary Search Tree, "
1215,Stepping Numbers,Stepping Numbers,stepping-numbers,,Hard,"Backtracking, "
1218,Longest Arithmetic Subsequence of Given Difference,Longest Arithmetic Subsequence of Given Difference,longest-arithmetic-subsequence-of-given-difference,,Hard,"Math, Dynamic Programming, "
1224,Maximum Equal Frequency,Maximum Equal Frequency,maximum-equal-frequency,,Hard,"Hash Table, "
1228,Missing Number In Arithmetic Progression,Missing Number In Arithmetic Progression,missing-number-in-arithmetic-progression,,Hard,"Math, "
1230,Toss Strange Coins,Toss Strange Coins,toss-strange-coins,,Hard,"Math, Dynamic Programming, "
1231,Divide Chocolate,Divide Chocolate,divide-chocolate,,Hard,"Binary Search, Greedy, "
1239,Maximum Length of a Concatenated String with Unique Characters,Maximum Length of a Concatenated String with Unique Characters,maximum-length-of-a-concatenated-string-with-unique-characters,,Hard,"Backtracking, Bit Manipulation, "
1242,Web Crawler Multithreaded,Web Crawler Multithreaded,web-crawler-multithreaded,,Hard,"Depth-first Search, Breadth-first Search, "
1253,Reconstruct a 2-Row Binary Matrix,Reconstruct a 2-Row Binary Matrix,reconstruct-a-2-row-binary-matrix,,Hard,"Math, Greedy, "
1255,Maximum Score Words Formed by Letters,Maximum Score Words Formed by Letters,maximum-score-words-formed-by-letters,,Hard,"Bit Manipulation, "
1257,Smallest Common Region,Smallest Common Region,smallest-common-region,,Hard,"Tree, "
1259,Handshakes That Don't Cross,Handshakes That Don't Cross,handshakes-that-dont-cross,,Hard,"Math, Dynamic Programming, "
1264,Page Recommendations,Page Recommendations,page-recommendations,,Hard,
1267,Count Servers that Communicate,Count Servers that Communicate,count-servers-that-communicate,,Hard,"Array, Graph, "
1268,Search Suggestions System,Search Suggestions System,search-suggestions-system,,Hard,"String, "
1272,Remove Interval,Remove Interval,remove-interval,,Hard,"Math, Line Sweep, "
1280,Students and Examinations,Students and Examinations,students-and-examinations,,Hard,
1285,Find the Start and End Number of Continuous Ranges,Find the Start and End Number of Continuous Ranges,find-the-start-and-end-number-of-continuous-ranges,,Hard,
1286,Iterator for Combination,Iterator for Combination,iterator-for-combination,,Hard,"Backtracking, Design, "
1287,Element Appearing More Than 25% In Sorted Array,Element Appearing More Than 25% In Sorted Array,element-appearing-more-than-25-in-sorted-array,,Hard,"Array, "
1288,Remove Covered Intervals,Remove Covered Intervals,remove-covered-intervals,,Hard,"Line Sweep, "
